SYSCALL / INT2E / SYSENTER COMPLETE MAP
======================================================================
Full raw byte scan of vgk.sys
Image Base : 0x140000000

── SYSCALL (0F 05) ── Total: 74
------------------------------------------------------------
  [ 21]  RVA=0x00C482E0  VA=0x0000000140C482E0
  [ 22]  RVA=0x00C952E9  VA=0x0000000140C952E9
  [ 23]  RVA=0x00CD345B  VA=0x0000000140CD345B
  [ 24]  RVA=0x00E6E3DA  VA=0x0000000140E6E3DA
  [ 25]  RVA=0x00EA5A73  VA=0x0000000140EA5A73
  [ 26]  RVA=0x00F2202D  VA=0x0000000140F2202D
  [ 27]  RVA=0x00FCD1F7  VA=0x0000000140FCD1F7
  [ 28]  RVA=0x00FDE571  VA=0x0000000140FDE571
  [ 29]  RVA=0x00FFC458  VA=0x0000000140FFC458
  [ 30]  RVA=0x0108323F  VA=0x000000014108323F
  [ 31]  RVA=0x011DB1A6  VA=0x00000001411DB1A6
  [ 32]  RVA=0x0124B984  VA=0x000000014124B984
  [ 33]  RVA=0x012505A0  VA=0x00000001412505A0
  [ 34]  RVA=0x01300671  VA=0x0000000141300671
  [ 35]  RVA=0x014A78CC  VA=0x00000001414A78CC
  [ 36]  RVA=0x014E4F79  VA=0x00000001414E4F79
  [ 37]  RVA=0x0155115E  VA=0x000000014155115E
  [ 38]  RVA=0x01830357  VA=0x0000000141830357
  [ 39]  RVA=0x01871885  VA=0x0000000141871885
  [ 40]  RVA=0x0187E16E  VA=0x000000014187E16E
  [ 41]  RVA=0x019E6613  VA=0x00000001419E6613
  [ 42]  RVA=0x01A5C395  VA=0x0000000141A5C395
  [ 43]  RVA=0x01A743F8  VA=0x0000000141A743F8
  [ 44]  RVA=0x01A7703F  VA=0x0000000141A7703F
  [ 45]  RVA=0x01C5CE7B  VA=0x0000000141C5CE7B
  [ 46]  RVA=0x01D668CF  VA=0x0000000141D668CF
  [ 47]  RVA=0x01E8ACBB  VA=0x0000000141E8ACBB
  [ 48]  RVA=0x01EB3E6C  VA=0x0000000141EB3E6C
  [ 49]  RVA=0x01FB1DC3  VA=0x0000000141FB1DC3
  [ 50]  RVA=0x02029EBE  VA=0x0000000142029EBE
  [ 51]  RVA=0x020330DF  VA=0x00000001420330DF
  [ 52]  RVA=0x020F0178  VA=0x00000001420F0178
  [ 53]  RVA=0x0212385E  VA=0x000000014212385E
  [ 54]  RVA=0x02229AD6  VA=0x0000000142229AD6
  [ 55]  RVA=0x0234F22B  VA=0x000000014234F22B
  [ 56]  RVA=0x023CD338  VA=0x00000001423CD338
  [ 57]  RVA=0x02473D84  VA=0x0000000142473D84
  [ 58]  RVA=0x024DF54B  VA=0x00000001424DF54B
  [ 59]  RVA=0x02510758  VA=0x0000000142510758
  [ 60]  RVA=0x0257EC61  VA=0x000000014257EC61
  [ 61]  RVA=0x026248E2  VA=0x00000001426248E2
  [ 62]  RVA=0x026BB7D6  VA=0x00000001426BB7D6
  [ 63]  RVA=0x026EAD1C  VA=0x00000001426EAD1C
  [ 64]  RVA=0x026F4DB5  VA=0x00000001426F4DB5
  [ 65]  RVA=0x026F4E00  VA=0x00000001426F4E00
  [ 66]  RVA=0x026F50E1  VA=0x00000001426F50E1
  [ 67]  RVA=0x0274B243  VA=0x000000014274B243
  [ 68]  RVA=0x02838AA6  VA=0x0000000142838AA6
  [ 69]  RVA=0x0290ADED  VA=0x000000014290ADED
  [ 70]  RVA=0x02931C48  VA=0x0000000142931C48
  [ 71]  RVA=0x02934871  VA=0x0000000142934871
  [ 72]  RVA=0x0293C557  VA=0x000000014293C557
  [ 73]  RVA=0x0293D465  VA=0x000000014293D465
  [ 74]  RVA=0x02947382  VA=0x0000000142947382
  [ 75]  RVA=0x0294786C  VA=0x000000014294786C
  [ 76]  RVA=0x0294A9DA  VA=0x000000014294A9DA
  [ 77]  RVA=0x0294C7B3  VA=0x000000014294C7B3
  [ 78]  RVA=0x02955360  VA=0x0000000142955360
  [ 79]  RVA=0x02977FB0  VA=0x0000000142977FB0
  [ 80]  RVA=0x029785FA  VA=0x00000001429785FA
  [ 81]  RVA=0x02982352  VA=0x0000000142982352

── SYSENTER (0F 34) ── Total: 76
------------------------------------------------------------
  [  0]  RVA=0x00022F1D  VA=0x0000000140022F1D
  [  1]  RVA=0x0004B946  VA=0x000000014004B946
  [  2]  RVA=0x000A3764  VA=0x00000001400A3764
  [  3]  RVA=0x000A39AC  VA=0x00000001400A39AC
  [  4]  RVA=0x000A3B5C  VA=0x00000001400A3B5C
  [  5]  RVA=0x000A3C50  VA=0x00000001400A3C50
  [  6]  RVA=0x000A3D84  VA=0x00000001400A3D84
  [  7]  RVA=0x000A40A4  VA=0x00000001400A40A4
  [  8]  RVA=0x000A455C  VA=0x00000001400A455C
  [  9]  RVA=0x000A49C8  VA=0x00000001400A49C8
  [ 10]  RVA=0x000A4A58  VA=0x00000001400A4A58
  [ 11]  RVA=0x000A4AD0  VA=0x00000001400A4AD0
  [ 12]  RVA=0x000A4B68  VA=0x00000001400A4B68
  [ 13]  RVA=0x000A4BF0  VA=0x00000001400A4BF0
  [ 14]  RVA=0x000A4E8C  VA=0x00000001400A4E8C
  [ 15]  RVA=0x000A51A0  VA=0x00000001400A51A0
  [ 16]  RVA=0x000A52E0  VA=0x00000001400A52E0
  [ 17]  RVA=0x000A5328  VA=0x00000001400A5328
  [ 18]  RVA=0x000A5958  VA=0x00000001400A5958
  [ 19]  RVA=0x000A5DF4  VA=0x00000001400A5DF4
  [ 20]  RVA=0x000B1B44  VA=0x00000001400B1B44
  [ 21]  RVA=0x000B2124  VA=0x00000001400B2124
  [ 22]  RVA=0x000B3224  VA=0x00000001400B3224
  [ 23]  RVA=0x000B3238  VA=0x00000001400B3238
  [ 24]  RVA=0x000B342C  VA=0x00000001400B342C
  [ 25]  RVA=0x000B3568  VA=0x00000001400B3568
  [ 26]  RVA=0x000D48DF  VA=0x00000001400D48DF
  [ 27]  RVA=0x000FD3B4  VA=0x00000001400FD3B4
  [ 28]  RVA=0x0010C290  VA=0x000000014010C290
  [ 29]  RVA=0x001E4116  VA=0x00000001401E4116
  [ 30]  RVA=0x0050AF09  VA=0x000000014050AF09
  [ 31]  RVA=0x0052D617  VA=0x000000014052D617
  [ 32]  RVA=0x005B65A0  VA=0x00000001405B65A0
  [ 33]  RVA=0x008296AE  VA=0x00000001408296AE
  [ 34]  RVA=0x008432E7  VA=0x00000001408432E7
  [ 35]  RVA=0x008B8F51  VA=0x00000001408B8F51
  [ 36]  RVA=0x00B6A1E1  VA=0x0000000140B6A1E1
  [ 37]  RVA=0x00D32F98  VA=0x0000000140D32F98
  [ 38]  RVA=0x00D48A7C  VA=0x0000000140D48A7C
  [ 39]  RVA=0x00D4E63E  VA=0x0000000140D4E63E
  [ 40]  RVA=0x00EF291B  VA=0x0000000140EF291B
  [ 41]  RVA=0x00F86E10  VA=0x0000000140F86E10
  [ 42]  RVA=0x0119031B  VA=0x000000014119031B
  [ 43]  RVA=0x0129A797  VA=0x000000014129A797
  [ 44]  RVA=0x013CBFE2  VA=0x00000001413CBFE2
  [ 45]  RVA=0x01411173  VA=0x0000000141411173
  [ 46]  RVA=0x015ABFA2  VA=0x00000001415ABFA2
  [ 47]  RVA=0x016D25DC  VA=0x00000001416D25DC
  [ 48]  RVA=0x0177CF62  VA=0x000000014177CF62
  [ 49]  RVA=0x017FBE31  VA=0x00000001417FBE31
  [ 50]  RVA=0x018249EF  VA=0x00000001418249EF
  [ 51]  RVA=0x019089F5  VA=0x00000001419089F5
  [ 52]  RVA=0x0193EC5C  VA=0x000000014193EC5C
  [ 53]  RVA=0x01C4B930  VA=0x0000000141C4B930
  [ 54]  RVA=0x01CC356A  VA=0x0000000141CC356A
  [ 55]  RVA=0x01DE6518  VA=0x0000000141DE6518
  [ 56]  RVA=0x01E081FB  VA=0x0000000141E081FB
  [ 57]  RVA=0x01E21B24  VA=0x0000000141E21B24
  [ 58]  RVA=0x01E56547  VA=0x0000000141E56547
  [ 59]  RVA=0x01EFF3FA  VA=0x0000000141EFF3FA
  [ 60]  RVA=0x02059BD3  VA=0x0000000142059BD3
  [ 61]  RVA=0x02059C1E  VA=0x0000000142059C1E
  [ 62]  RVA=0x02059C7D  VA=0x0000000142059C7D
  [ 63]  RVA=0x0205D834  VA=0x000000014205D834
  [ 64]  RVA=0x0205DB3C  VA=0x000000014205DB3C
  [ 65]  RVA=0x0211E01F  VA=0x000000014211E01F
  [ 66]  RVA=0x022E5F98  VA=0x00000001422E5F98
  [ 67]  RVA=0x02415576  VA=0x0000000142415576
  [ 68]  RVA=0x025A8792  VA=0x00000001425A8792
  [ 69]  RVA=0x026DAE30  VA=0x00000001426DAE30
  [ 70]  RVA=0x028DF09D  VA=0x00000001428DF09D
  [ 71]  RVA=0x0293FB49  VA=0x000000014293FB49
  [ 72]  RVA=0x02940FE3  VA=0x0000000142940FE3
  [ 73]  RVA=0x02942874  VA=0x0000000142942874
  [ 74]  RVA=0x029466D5  VA=0x00000001429466D5
  [ 75]  RVA=0x0294CC05  VA=0x000000014294CC05

TOTALS:
  SYSCALL  : 74
  INT 2E   : 82
  SYSENTER : 76
  Combined : 232
